"Your Company - Official Account Statement"
"Account ID:","LIABILITY:MERCHANT:MID-1:PAYIN"
"Statement Period:","2026-02-01 to 2026-12-31"
"Generated At:","2026-02-06 00:32:29 (IST)"
"Currency:","INR"
""
"--- Period Summary ---"
"Opening Balance:","₹ 0.00"
"Total Debits:","₹ 100.00"
"Total Credits:","₹ 119870.24"
"Closing Balance:","₹ 119770.24"
""
"Date","Narration","Transaction ID","Debit","Credit","Running Balance"
"2026-02-06 00:23:49","Stress Test Entry 947","b109e88e-864d-407c-9453-4c0872b6df5b","₹ 0.00","₹ 81.87","₹ 116350.17"
"2026-02-06 00:23:49","Stress Test Entry 970","97d5f900-a836-4c58-9fdf-09f397e0c810","₹ 0.00","₹ 30.49","₹ 117892.60"
"2026-02-06 00:23:49","Stress Test Entry 960","f64ed59e-b4fc-4201-ab08-6f17a029aa57","₹ 0.00","₹ 69.00","₹ 117249.05"
"2026-02-06 00:23:49","Stress Test Entry 986","d3ba5aa5-7a9a-4fac-8919-3bc637ff0c0b","₹ 0.00","₹ 80.96","₹ 118792.07"
"2026-02-06 00:23:49","Stress Test Entry 957","21a5ca56-1cfb-422c-904f-84e1ce4c4e25","₹ 0.00","₹ 68.09","₹ 117040.84"
"2026-02-06 00:23:49","Stress Test Entry 926","6acbe77b-157e-4ad2-9c94-f89ae7493e92","₹ 0.00","₹ 25.30","₹ 115103.21"
"2026-02-06 00:23:49","Stress Test Entry 904","a040d76d-0259-4a8f-88a9-49903591f0dd","₹ 0.00","₹ 18.88","₹ 113692.27"
"2026-02-06 00:23:49","Stress Test Entry 923","6710350b-4c56-472d-8ec8-675ad567f1d7","₹ 0.00","₹ 10.81","₹ 114979.81"
"2026-02-06 00:23:49","Stress Test Entry 953","5c0d6246-a453-461a-b94b-ba8df9496ba8","₹ 0.00","₹ 46.80","₹ 116680.38"
"2026-02-06 00:23:49","Stress Test Entry 937","203450aa-79f7-4161-b4a9-05950253afa1","₹ 0.00","₹ 63.65","₹ 115794.37"
"2026-02-06 00:23:49","Stress Test Entry 911","85a91cfb-7229-474a-bd4c-d07102b32ce2","₹ 0.00","₹ 56.14","₹ 114147.09"
"2026-02-06 00:23:49","Stress Test Entry 955","b52d6fa0-a215-4d09-bfbf-aaeaa97f75e6","₹ 0.00","₹ 91.00","₹ 116868.30"
"2026-02-06 00:23:49","Stress Test Entry 962","8e0e4612-9ffd-4ec0-bc7c-d8301bf849eb","₹ 0.00","₹ 15.70","₹ 117346.31"
"2026-02-06 00:23:49","Stress Test Entry 996","b3762c7a-3782-4368-aba3-c15cd5856988","₹ 0.00","₹ 105.57","₹ 119417.87"
"2026-02-06 00:23:49","Stress Test Entry 920","8e3ad637-2d0c-467e-a164-d51c8de9c37d","₹ 0.00","₹ 95.39","₹ 114846.58"
"2026-02-06 00:23:49","Stress Test Entry 982","cd5bd80c-594a-434f-9a3c-6a66df7d340b","₹ 0.00","₹ 102.12","₹ 118586.37"
"2026-02-06 00:23:49","Stress Test Entry 935","fd75c1ca-34e7-49b0-a076-e6079b8ca139","₹ 0.00","₹ 20.28","₹ 115677.35"
"2026-02-06 00:23:49","Stress Test Entry 983","97a2b425-2d2f-4c7a-8fdb-26037279635f","₹ 0.00","₹ 24.08","₹ 118610.45"
"2026-02-06 00:23:49","Stress Test Entry 941","13fe515e-14da-4b4a-b14e-c28c4706a995","₹ 0.00","₹ 22.78","₹ 116031.10"
"2026-02-06 00:23:49","Stress Test Entry 934","46f68f83-5176-498a-8b41-99608bcffcc4","₹ 0.00","₹ 87.93","₹ 115657.07"
"2026-02-06 00:23:49","Stress Test Entry 946","b0e99216-b68c-4bb0-9c0a-033d08309eea","₹ 0.00","₹ 27.51","₹ 116268.30"
"2026-02-06 00:23:49","Stress Test Entry 917","1cc7cb8e-3583-467e-90e3-32319f83300f","₹ 0.00","₹ 36.05","₹ 114656.00"
"2026-02-06 00:23:49","Stress Test Entry 973","d5d699d4-9c68-4608-9ad4-d231c7ef7f64","₹ 0.00","₹ 20.61","₹ 118004.90"
