date,description,debit,credit,runningBalance,entryId
"2026-02-06 05:52:15","Stress Test Entry 943","₹ 0.00","₹ 105.36","₹ 56434.76","9b6cf017-5b76-4321-b21e-03cd2a22c4fc"
"2026-02-06 05:52:15","Stress Test Entry 981","₹ 0.00","₹ 99.26","₹ 58670.36","18af1fa3-0573-4ea5-a916-efe29a8040fe"
"2026-02-06 05:52:15","Stress Test Entry 982","₹ 0.00","₹ 79.65","₹ 58750.01","49b2c7d2-97f0-4d76-aa14-8182d16676f1"
"2026-02-06 05:52:15","Stress Test Entry 993","₹ 0.00","₹ 66.21","₹ 59447.99","fc047763-df11-46e1-931c-35fc56470e58"
"2026-02-06 05:52:15","Stress Test Entry 987","₹ 0.00","₹ 89.74","₹ 59093.97","525d3bb3-0359-44c4-a1f9-c2c7cd08bb53"
"2026-02-06 05:52:15","Stress Test Entry 918","₹ 0.00","₹ 76.76","₹ 54783.27","765664f9-0550-4365-a073-6ea127dc2c6c"
"2026-02-06 05:52:15","Stress Test Entry 957","₹ 0.00","₹ 18.14","₹ 57359.48","d410e061-a255-4b47-afac-3d362633a885"
"2026-02-06 05:52:15","Stress Test Entry 996","₹ 0.00","₹ 10.45","₹ 59643.76","4ae9c660-3146-409e-973f-60f328734aaf"
"2026-02-06 05:52:15","Stress Test Entry 978","₹ 0.00","₹ 106.68","₹ 58487.89","c990aea2-9edc-45a6-b676-1605d29c7347"
"2026-02-06 05:52:15","Stress Test Entry 914","₹ 0.00","₹ 17.95","₹ 54563.69","07af60ed-16c6-40da-99bf-1fb6077481e8"
"2026-02-06 05:52:15","Stress Test Entry 984","₹ 0.00","₹ 18.49","₹ 58873.95","e95e314d-1bc0-4940-8ce6-5c8737ce67dc"
"2026-02-06 05:52:15","Stress Test Entry 902","₹ 0.00","₹ 93.77","₹ 53871.40","704ea165-ef9d-4201-8781-6322e76d883b"
"2026-02-06 05:52:15","Stress Test Entry 907","₹ 0.00","₹ 61.41","₹ 54138.74","1dff4af8-64ab-4a99-8c74-f0f06f9fe9ac"
"2026-02-06 05:52:15","Stress Test Entry 930","₹ 0.00","₹ 44.38","₹ 55631.61","54515852-d283-43d0-a45b-78608fba8374"
"2026-02-06 05:52:15","Stress Test Entry 950","₹ 0.00","₹ 89.37","₹ 56922.38","3c077bbb-4f32-422d-b6c4-e8371d638931"
"2026-02-06 05:52:15","Stress Test Entry 938","₹ 0.00","₹ 45.07","₹ 56078.54","e97d9f8c-cd68-4646-b075-df6b5ff9b7a3"
"2026-02-06 05:52:15","Stress Test Entry 963","₹ 0.00","₹ 54.71","₹ 57597.58","3e216d72-762e-4959-8668-76cb778401ae"
"2026-02-06 05:52:15","Stress Test Entry 951","₹ 0.00","₹ 97.18","₹ 57019.56","bcaadd12-80d0-4933-8069-de2a00ea4942"
"2026-02-06 05:52:15","Stress Test Entry 913","₹ 0.00","₹ 54.95","₹ 54545.74","7113ce29-723b-4778-826f-76a56ef3431a"
"2026-02-06 05:52:15","Stress Test Entry 965","₹ 0.00","₹ 56.28","₹ 57671.58","d2f3de1f-59e2-4710-8ef0-34517d6f19e5"
"2026-02-06 05:52:15","Stress Test Entry 942","₹ 0.00","₹ 81.06","₹ 56329.40","bde13417-dee0-4547-b048-78ef7e3c2dbf"
"2026-02-06 05:52:15","Stress Test Entry 937","₹ 0.00","₹ 23.27","₹ 56033.47","c6adb66a-d2e4-4132-b986-b79f437d2303"
"2026-02-06 05:52:15","Stress Test Entry 945","₹ 0.00","₹ 36.39","₹ 56575.16","28480411-cf67-4868-9279-abf57afbf538"
"2026-02-06 05:52:15","Stress Test Entry 953","₹ 0.00","₹ 23.08","₹ 57080.57","5d5bb01c-906b-45fc-a929-e7ecf82708c9"
"2026-02-06 05:52:15","Stress Test Entry 961","₹ 0.00","₹ 16.41","₹ 57508.08","29ea4439-15df-47a4-8497-96f069f5d232"
"2026-02-06 05:52:15","Stress Test Entry 904","₹ 0.00","₹ 84.93","₹ 53978.30","71be759f-69ef-4d35-8c5d-ed1f442581e2"
"2026-02-06 05:52:15","Stress Test Entry 927","₹ 0.00","₹ 49.20","₹ 55488.43","31c31f5e-2418-42bc-9685-96fc01b75cc6"
"2026-02-06 05:52:15","Stress Test Entry 932","₹ 0.00","₹ 57.63","₹ 55789.51","ce42e726-c72e-4ed8-aaf1-b5e2368084ef"
"2026-02-06 05:52:15","Stress Test Entry 989","₹ 0.00","₹ 16.67","₹ 59192.20","202cf791-5392-4075-aeb1-6ad025f8c6b2"
"2026-02-06 05:52:15","Stress Test Entry 975","₹ 0.00","₹ 93.22","₹ 58299.63","adf73106-51ba-41e1-9a7c-05f5291315dd"
"2026-02-06 05:52:15","Stress Test Entry 952","₹ 0.00","₹ 37.93","₹ 57057.49","81f363b3-cd92-4fd9-9ff9-68803c7b5a23"
"2026-02-06 05:52:15","Stress Test Entry 934","₹ 0.00","₹ 107.94","₹ 55916.29","8558e523-8a05-43a1-83d1-94a05ef4a04c"
"2026-02-06 05:52:15","Stress Test Entry 911","₹ 0.00","₹ 49.33","₹ 54413.82","9d4efa77-ee0d-4807-a385-f0480cd1f2a0"
"2026-02-06 05:52:15","Stress Test Entry 998","₹ 0.00","₹ 98.96","₹ 59844.90","1354c5c7-a503-4e9d-83ad-18452e401c42"
"2026-02-06 05:52:15","Stress Test Entry 928","₹ 0.00","₹ 36.95","₹ 55525.38","47c8fd1f-f462-42f6-a231-57e804822124"
"2026-02-06 05:52:15","Stress Test Entry 944","₹ 0.00","₹ 104.01","₹ 56538.77","bacd4d47-8fba-4a60-8a4a-90e694bbb111"
"2026-02-06 05:52:15","Stress Test Entry 999","₹ 0.00","₹ 67.11","₹ 59912.01","24127064-9ad8-4ccc-ab52-2868fe7523b3"
"2026-02-06 05:52:15","Stress Test Entry 949","₹ 0.00","₹ 36.79","₹ 56833.01","4a6ac0ad-5441-43cd-8f6f-b97230e3f71f"
"2026-02-06 05:52:15","Stress Test Entry 941","₹ 0.00","₹ 70.73","₹ 56248.34","651e1315-72cc-4097-bcdd-c4949eb48728"
"2026-02-06 05:52:15","Stress Test Entry 960","₹ 0.00","₹ 38.72","₹ 57491.67","6ce8c296-d1d8-4ebe-923e-be872a6bb068"
"2026-02-06 05:52:15","Stress Test Entry 936","₹ 0.00","₹ 33.73","₹ 56010.20","2fa2abe5-af97-4887-b4fd-72b633f8c4ec"
"2026-02-06 05:52:15","Stress Test Entry 968","₹ 0.00","₹ 48.73","₹ 57766.55","e06b7987-f642-40ce-976a-6727dae7d98c"
"2026-02-06 05:52:15","Stress Test Entry 992","₹ 0.00","₹ 79.73","₹ 59381.78","beac00ad-f66d-4813-90fc-197b5b55a5ee"
"2026-02-06 05:52:15","Stress Test Entry 972","₹ 0.00","₹ 78.58","₹ 58052.04","15872fb1-c349-4818-81f6-050c1ad53853"
"2026-02-06 05:52:15","Stress Test Entry 922","₹ 0.00","₹ 89.09","₹ 55128.11","49872355-a81f-4bba-8c31-cdaf14800ea1"
"2026-02-06 05:52:15","Stress Test Entry 994","₹ 0.00","₹ 91.38","₹ 59539.37","a717dd7d-97c6-4b7e-9cac-a98917ebfa6b"
"2026-02-06 05:52:15","Stress Test Entry 933","₹ 0.00","₹ 18.84","₹ 55808.35","92d5981a-97db-4cdc-bc61-48f71019e3a4"
"2026-02-06 05:52:15","Stress Test Entry 924","₹ 0.00","₹ 100.66","₹ 55337.19","28304582-b185-42a0-abe8-290d82736322"
