"--- WISIPAY FINTECH - OFFICIAL ACCOUNT STATEMENT ---"
"ACCOUNT ID:","INCOME:INCOME:INCOME:INCOME"
"STATEMENT PERIOD:","2026-02-09 to 2026-02-09"
"GENERATED AT:","2026-02-09 02:40:16 (IST)"
"CURRENCY:","INR"
""
"=== PERIOD SUMMARY ==="
"Opening Balance:","₹ 760.38"
"Total Debits:","₹ 0.00"
"Total Credits:","₹ 0.00"
"Closing Balance:","₹ 760.38"
""
"--------------------------------------------------------------------------------"
"DATE","NARRATION","TRANSACTION ID","DEBIT","CREDIT","RUNNING BALANCE"
"2026-02-08 19:11:56","Payin Success: TX_116212_15","bfec6fe6-8d3e-4f5c-bff3-eb057dc3cfcf","₹ 0.00","₹ 8.61","₹ 760.38"
"2026-02-08 19:11:56","Payin Success: TX_116188_14","a99564bc-fbaa-4f52-99b8-2d3c407970e6","₹ 0.00","₹ 8.59","₹ 751.77"
"2026-02-08 19:11:56","Payin Success: TX_116163_13","eed76b36-c28d-4b57-84d3-d38975a749ad","₹ 0.00","₹ 8.57","₹ 743.18"
"2026-02-08 19:11:56","Payin Success: TX_116134_12","6aef34a0-e19c-4c1b-9215-f0b8a91bca6b","₹ 0.00","₹ 8.54","₹ 734.61"
"2026-02-08 19:11:56","Payin Success: TX_116105_11","176e426d-ff62-465c-be57-d3dbac94c2f2","₹ 0.00","₹ 8.52","₹ 726.07"
"2026-02-08 19:11:56","Payin Success: TX_116072_10","0ab55823-0557-48c7-98ca-3b2d177f88e5","₹ 0.00","₹ 8.50","₹ 717.55"
"2026-02-08 19:11:56","Payin Success: TX_116043_9","47f77048-76f5-4c66-8f5a-20cd3a942a7e","₹ 0.00","₹ 8.47","₹ 709.05"
"2026-02-08 19:11:56","Payin Success: TX_116010_8","3a773dc9-1fe5-407f-9ee8-e8ea7e7d9348","₹ 0.00","₹ 8.45","₹ 700.58"
"2026-02-08 19:11:55","Payin Success: TX_115983_7","861165a5-8ff8-4ada-b4a9-c8384cddb147","₹ 0.00","₹ 8.43","₹ 692.13"
"2026-02-08 19:11:55","Payin Success: TX_115953_6","87c4f87f-d9f5-4ef9-a797-e279dd090e90","₹ 0.00","₹ 8.40","₹ 683.70"
"2026-02-08 19:11:55","Payin Success: TX_115915_5","4c1432a3-f4bb-4b37-947f-0c33211f5de0","₹ 0.00","₹ 8.38","₹ 675.30"
"2026-02-08 19:11:55","Payin Success: TX_115879_4","e5f97b70-f5c1-46c7-a6b4-894c48f20a8a","₹ 0.00","₹ 8.35","₹ 666.92"
"2026-02-08 19:11:55","Payin Success: TX_115845_3","d79a5360-c13d-43fc-8d3b-d133ae88487f","₹ 0.00","₹ 8.33","₹ 658.57"
"2026-02-08 19:11:55","Payin Success: TX_115807_2","96c06547-adaa-40af-b54b-5d697c8848b6","₹ 0.00","₹ 8.31","₹ 650.24"
"2026-02-08 19:11:55","Payin Success: TX_115747_1","76202369-5fd5-4d67-a44e-e43c4d94ca55","₹ 0.00","₹ 8.28","₹ 641.93"
"2026-02-08 19:11:22","Payin Success: TX_082561_15","34359ad1-2c59-4d8a-827d-80f47bac4de8","₹ 0.00","₹ 8.61","₹ 633.65"
"2026-02-08 19:11:22","Payin Success: TX_082433_14","8b0b4efd-c8e4-4bfa-9834-9863e5deed4e","₹ 0.00","₹ 8.59","₹ 625.04"
"2026-02-08 19:11:22","Payin Success: TX_082305_13","133714d8-080e-4470-9151-e65ec7347a91","₹ 0.00","₹ 8.57","₹ 616.45"
"2026-02-08 19:11:22","Payin Success: TX_082178_12","32d24667-6bc7-4485-83e3-bee96fa8945c","₹ 0.00","₹ 8.54","₹ 607.88"
"2026-02-08 19:11:22","Payin Success: TX_082051_11","b97c0ee3-d7e9-4e95-b340-fd8fd7e55fb5","₹ 0.00","₹ 8.52","₹ 599.34"
"2026-02-08 19:11:21","Payin Success: TX_081924_10","8ea795f4-0be8-4973-a1e2-e82722c32d4b","₹ 0.00","₹ 8.50","₹ 590.82"
"2026-02-08 19:11:21","Payin Success: TX_081797_9","2b6bc990-3106-4106-8146-fdc41dc20e75","₹ 0.00","₹ 8.47","₹ 582.32"
"2026-02-08 19:11:21","Payin Success: TX_081669_8","6e7492e5-15b9-4031-8886-5cfab303558d","₹ 0.00","₹ 8.45","₹ 573.85"
"2026-02-08 19:11:21","Payin Success: TX_081532_7","d3a65693-7e60-488e-8672-ecb03f6751ba","₹ 0.00","₹ 8.43","₹ 565.40"
"2026-02-08 19:11:21","Payin Success: TX_081403_6","9fda35cf-7332-4546-ae6e-0b510429ccf5","₹ 0.00","₹ 8.40","₹ 556.97"
"2026-02-08 19:11:21","Payin Success: TX_081264_5","e48667f1-4831-47f2-8677-a52d68e9bd91","₹ 0.00","₹ 8.38","₹ 548.57"
"2026-02-08 19:11:21","Payin Success: TX_081129_4","b2ee37c1-ba53-42af-aac0-c7b9357f8ea7","₹ 0.00","₹ 8.35","₹ 540.19"
"2026-02-08 19:11:21","Payin Success: TX_080997_3","cf8efb75-1c05-4940-b167-8a4d8a31ca9f","₹ 0.00","₹ 8.33","₹ 531.84"
"2026-02-08 19:11:20","Payin Success: TX_080858_2","b2edbf01-c13f-4b63-b754-cfe20b370da2","₹ 0.00","₹ 8.31","₹ 523.51"
"2026-02-08 19:11:20","Payin Success: TX_080698_1","b0de43a9-7235-4f5d-a29b-1ae84fd92eb4","₹ 0.00","₹ 8.28","₹ 515.20"
"2026-02-08 19:10:26","Payin Success: TX_026262_15","795a96dc-b809-4870-90ae-0aec32c632f8","₹ 0.00","₹ 8.61","₹ 506.92"
"2026-02-08 19:10:26","Payin Success: TX_026137_14","a7cc19ea-89c8-48c1-b0b6-5b52e14cac43","₹ 0.00","₹ 8.59","₹ 498.31"
"2026-02-08 19:10:26","Payin Success: TX_026010_13","b08ce98b-fa4f-4eec-94fc-bab10268075e","₹ 0.00","₹ 8.57","₹ 489.72"
